"Date","Price","Open","High","Low","Vol.","Change %"
"06/30/2015","172.15","171.50","173.27","170.38","990.09K","0.03%"
"06/29/2015","172.09","173.33","174.25","171.30","922.70K","-0.34%"
"06/28/2015","172.68","169.72","173.01","169.46","956.50K","1.82%"
"06/25/2015","169.59","166.77","170.05","166.37","978.15K","1.41%"
"06/24/2015","167.23","167.42","168.93","166.51","828.37K","0.95%"
"06/23/2015","165.65","166.11","167.16","165.26","526.90K","-0.12%"
"06/22/2015","165.85","167.42","167.42","165.59","547.94K","-0.66%"
"06/21/2015","166.96","168.34","168.34","166.18","255.29K","-0.47%"
"06/18/2015","167.75","167.42","168.34","166.05","459.04K","0.91%"
"06/17/2015","166.24","168.08","168.41","165.85","488.01K","-0.79%"
"06/16/2015","167.56","165.78","169.07","165.45","648.00K","1.19%"
"06/15/2015","165.59","167.10","167.10","165.06","320.05K","-0.90%"
"06/14/2015","167.10","167.42","170.25","165.91","670.06K","-0.27%"
"06/11/2015","167.56","162.76","168.74","161.71","1.27M","3.74%"
"06/10/2015","161.52","160.53","163.09","160.14","657.20K","1.03%"
"06/09/2015","159.87","161.32","162.70","159.22","503.74K","-0.90%"
"06/08/2015","161.32","162.30","163.35","160.86","639.33K","-0.49%"
"06/07/2015","162.11","161.06","163.94","161.06","403.11K","0.70%"
"06/04/2015","160.99","161.12","162.76","160.73","575.68K","0.00%"
"06/02/2015","160.99","162.17","162.83","160.73","595.16K","0.21%"
"06/01/2015","160.66","162.83","163.35","160.20","954.14K","-0.77%"
"05/31/2015","161.91","161.84","163.75","161.58","491.51K","0.53%"
"05/28/2015","161.06","164.80","164.80","160.40","841.55K","-1.49%"
"05/27/2015","163.49","165.45","166.57","163.03","654.08K","-1.18%"
"05/26/2015","165.45","167.36","168.61","165.26","408.47K","-0.67%"
"05/25/2015","166.57","164.47","171.30","162.11","706.17K","2.01%"
"05/24/2015","163.29","161.65","165.45","161.25","119.12K","-0.36%"
"05/21/2015","163.88","164.80","165.45","163.42","478.02K","-0.59%"
"05/20/2015","164.86","166.11","167.36","164.14","481.81K","-0.72%"
"05/19/2015","166.05","164.73","167.42","164.34","418.44K","1.29%"
"05/18/2015","163.94","162.43","164.47","161.52","588.69K","1.46%"
"05/17/2015","161.58","160.01","163.88","159.35","399.59K","1.03%"
"05/14/2015","159.94","160.86","161.32","158.95","526.96K","0.41%"
"05/13/2015","159.28","161.38","161.38","158.63","451.28K","-0.08%"
"05/12/2015","159.41","160.20","162.17","158.36","414.38K","-0.90%"
"05/11/2015","160.86","163.49","164.80","159.55","722.97K","-0.85%"
"05/10/2015","162.24","162.04","164.14","160.27","517.59K","1.69%"
"05/07/2015","159.55","160.92","161.52","158.95","407.99K","-0.81%"
"05/06/2015","160.86","159.09","161.12","158.89","560.73K","2.08%"
"05/05/2015","157.58","157.58","160.14","156.72","366.05K","0.84%"
"05/04/2015","156.26","165.45","165.45","155.61","700.21K","-3.26%"
"04/30/2015","161.52","162.24","163.81","160.86","443.21K","-0.73%"
"04/29/2015","162.70","164.01","164.80","162.17","348.29K","-0.60%"
"04/27/2015","163.68","164.08","164.80","162.37","459.59K","0.44%"
"04/26/2015","162.96","165.39","165.65","162.17","414.95K","-1.12%"
"04/23/2015","164.80","167.56","167.56","163.29","550.66K","-0.51%"
"04/22/2015","165.65","168.61","168.61","164.80","684.83K","-0.83%"
"04/21/2015","167.03","167.49","169.26","166.77","607.61K","-0.62%"
"04/20/2015","168.08","168.80","169.72","167.88","436.64K","0.04%"
"04/19/2015","168.02","170.64","172.35","167.62","660.20K","-0.89%"
"04/16/2015","169.53","170.38","171.95","169.33","549.19K","-0.62%"
"04/15/2015","170.58","171.50","172.22","170.05","722.82K","-0.42%"
"04/13/2015","171.30","173.66","173.66","170.71","841.22K","-1.10%"
"04/12/2015","173.20","173.33","175.30","172.81","387.52K","-0.72%"
"04/09/2015","174.45","172.68","175.17","172.68","1.08M","1.41%"
"04/08/2015","172.02","170.71","172.61","170.71","431.20K","0.42%"
"04/07/2015","171.30","173.07","173.07","170.64","400.84K","-0.49%"
"04/06/2015","172.15","171.69","173.33","171.69","573.56K","-0.23%"
"04/05/2015","172.55","173.27","173.27","171.50","303.06K","0.38%"
"04/02/2015","171.89","173.99","174.25","171.04","881.81K","-1.32%"
"04/01/2015","174.19","172.74","176.29","172.74","1.10M","0.84%"
"03/31/2015","172.74","170.12","173.14","169.79","902.91K","1.70%"
"03/30/2015","169.85","172.35","172.35","169.46","436.39K","-1.38%"
"03/29/2015","172.22","169.99","172.87","169.92","544.04K","1.86%"
"03/25/2015","169.07","168.61","170.05","167.88","674.35K","0.62%"
"03/24/2015","168.02","169.39","169.39","167.88","378.74K","-0.39%"
"03/23/2015","168.67","169.72","169.72","168.34","313.80K","-0.27%"
"03/22/2015","169.13","168.74","169.66","167.42","250.40K","1.14%"
"03/19/2015","167.23","168.74","168.74","166.83","348.94K","-0.11%"
"03/18/2015","167.42","168.80","169.92","166.90","570.27K","-0.82%"
"03/16/2015","168.80","170.31","170.31","168.74","370.81K","-0.54%"
"03/15/2015","169.72","169.39","170.05","168.74","251.79K","0.15%"
"03/12/2015","169.46","169.39","170.31","168.74","436.99K","0.12%"
"03/11/2015","169.26","170.38","170.51","168.74","510.08K","-0.12%"
"03/10/2015","169.46","170.71","170.71","168.67","785.80K","-0.42%"
"03/09/2015","170.18","170.31","170.71","169.72","378.63K","-0.04%"
"03/08/2015","170.25","172.02","172.02","169.39","249.05K","0.42%"
"03/05/2015","169.53","170.71","170.97","169.26","363.64K","-0.46%"
