"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2017","5,697.93","5,697.93","5,697.93","5,697.93","","-0.49%"
"03/23/2017","5,726.23","5,726.23","5,726.23","5,726.23","","-0.18%"
"03/22/2017","5,736.30","5,736.30","5,736.30","5,736.30","","0.20%"
"03/21/2017","5,724.85","5,724.85","5,724.85","5,724.85","","0.51%"
"03/20/2017","5,695.72","5,695.72","5,695.72","5,695.72","","0.00%"
"03/19/2017","5,695.45","5,695.45","5,695.45","5,695.45","","-0.10%"
"03/16/2017","5,701.27","5,701.27","5,701.27","5,701.27","","0.30%"
"03/15/2017","5,684.31","5,684.31","5,684.31","5,684.31","","0.05%"
"03/14/2017","5,681.25","5,681.25","5,681.25","5,681.25","","0.38%"
"03/13/2017","5,659.72","5,659.72","5,659.72","5,659.72","","-0.29%"
"03/12/2017","5,676.25","5,676.25","5,676.25","5,676.25","","0.08%"
"03/09/2017","5,671.61","5,671.61","5,671.61","5,671.61","","0.38%"
"03/08/2017","5,649.98","5,649.98","5,649.98","5,649.98","","0.49%"
"03/07/2017","5,622.49","5,622.49","5,622.49","5,622.49","","0.60%"
"03/06/2017","5,588.83","5,588.83","5,588.83","5,588.83","","0.28%"
"03/05/2017","5,573.07","5,573.07","5,573.07","5,573.07","","-0.24%"
"03/02/2017","5,586.74","5,586.74","5,586.74","5,586.74","","-0.19%"
"03/01/2017","5,597.21","5,597.21","5,597.21","5,597.21","","-0.28%"
"02/28/2017","5,612.69","5,612.69","5,612.69","5,612.69","","-0.13%"
"02/27/2017","5,620.24","5,620.24","5,620.24","5,620.24","","-0.26%"
"02/26/2017","5,635.11","5,635.11","5,635.11","5,635.11","","0.17%"
"02/23/2017","5,625.33","5,625.33","5,625.33","5,625.33","","-0.01%"
"02/22/2017","5,625.83","5,625.83","5,625.83","5,625.83","","0.37%"
"02/20/2017","5,604.99","5,604.99","5,604.99","5,604.99","","0.39%"
"02/19/2017","5,583.00","5,583.00","5,583.00","5,583.00","","-0.14%"
"02/16/2017","5,590.66","5,590.66","5,590.66","5,590.66","","0.18%"
"02/15/2017","5,580.63","5,580.63","5,580.63","5,580.63","","-0.32%"
"02/14/2017","5,598.71","5,598.71","5,598.71","5,598.71","","0.72%"
"02/13/2017","5,558.57","5,558.57","5,558.57","5,558.57","","0.22%"
"02/12/2017","5,546.28","5,546.28","5,546.28","5,546.28","","0.61%"
"02/09/2017","5,512.46","5,512.46","5,512.46","5,512.46","","0.44%"
"02/08/2017","5,488.23","5,488.23","5,488.23","5,488.23","","1.78%"
"02/07/2017","5,392.10","5,392.10","5,392.10","5,392.10","","0.54%"
"02/06/2017","5,363.09","5,363.09","5,363.09","5,363.09","","0.76%"
"02/05/2017","5,322.86","5,322.86","5,322.86","5,322.86","","-0.79%"
"02/02/2017","5,365.13","5,365.13","5,365.13","5,365.13","","-1.99%"
"02/01/2017","5,473.89","5,473.89","5,473.89","5,473.89","","0.10%"
"01/31/2017","5,468.34","5,468.34","5,468.34","5,468.34","","0.87%"
"01/30/2017","5,421.20","5,421.20","5,421.20","5,421.20","","-1.45%"
"01/29/2017","5,500.85","5,500.85","5,500.85","5,500.85","","-2.10%"
"01/26/2017","5,618.64","5,618.64","5,618.64","5,618.64","","-0.05%"
"01/25/2017","5,621.27","5,621.27","5,621.27","5,621.27","","-1.52%"
"01/24/2017","5,708.24","5,708.24","5,708.24","5,708.24","","0.68%"
"01/23/2017","5,669.79","5,669.79","5,669.79","5,669.79","","1.19%"
"01/22/2017","5,602.84","5,602.84","5,602.84","5,602.84","","1.24%"
"01/19/2017","5,534.06","5,534.06","5,534.06","5,534.06","","0.01%"
"01/18/2017","5,533.49","5,533.49","5,533.49","5,533.49","","-0.75%"
"01/17/2017","5,575.47","5,575.47","5,575.47","5,575.47","","1.78%"
"01/16/2017","5,477.86","5,477.86","5,477.86","5,477.86","","1.02%"
"01/15/2017","5,422.79","5,422.79","5,422.79","5,422.79","","1.50%"
"01/12/2017","5,342.87","5,342.87","5,342.87","5,342.87","","0.17%"
"01/11/2017","5,333.87","5,333.87","5,333.87","5,333.87","","1.07%"
"01/10/2017","5,277.39","5,277.39","5,277.39","5,277.39","","1.20%"
"01/09/2017","5,214.60","5,214.60","5,214.60","5,214.60","","1.08%"
"01/08/2017","5,158.69","5,158.69","5,158.69","5,158.69","","-0.45%"
"01/05/2017","5,182.24","5,182.24","5,182.24","5,182.24","","0.50%"
"01/04/2017","5,156.60","5,156.60","5,156.60","5,156.60","","0.37%"
"01/03/2017","5,137.73","5,137.73","5,137.73","5,137.73","","0.35%"
"01/02/2017","5,119.58","5,119.58","5,119.58","5,119.58","","0.70%"
"01/01/2017","5,083.89","5,083.89","5,083.89","5,083.89","","0.95%"
"12/29/2016","5,036.05","5,036.05","5,036.05","5,036.05","","0.16%"
"12/28/2016","5,027.91","5,027.91","5,027.91","5,027.91","","0.22%"
"12/27/2016","5,016.74","5,016.74","5,016.74","5,016.74","","0.46%"
"12/26/2016","4,993.53","4,993.53","4,993.53","4,993.53","","0.74%"
"12/22/2016","4,956.73","4,956.73","4,956.73","4,956.73","","0.66%"
"12/21/2016","4,924.33","4,924.33","4,924.33","4,924.33","","-0.14%"
"12/20/2016","4,931.17","4,931.17","4,931.17","4,931.17","","-0.21%"
"12/19/2016","4,941.65","4,941.65","4,941.65","4,941.65","","0.06%"
"12/18/2016","4,938.58","4,938.58","4,938.58","4,938.58","","0.26%"
"12/15/2016","4,925.72","4,925.72","4,925.72","4,925.72","","0.38%"
"12/14/2016","4,906.92","4,906.92","4,906.92","4,906.92","","0.77%"
"12/12/2016","4,869.59","4,869.59","4,869.59","4,869.59","","0.17%"
"12/11/2016","4,861.12","4,861.12","4,861.12","4,861.12","","-0.65%"
"12/08/2016","4,892.81","4,892.81","4,892.81","4,892.81","","0.44%"
"12/07/2016","4,871.28","4,871.28","4,871.28","4,871.28","","0.52%"
"12/06/2016","4,846.09","4,846.09","4,846.09","4,846.09","","0.20%"
"12/05/2016","4,836.32","4,836.32","4,836.32","4,836.32","","0.29%"
"12/04/2016","4,822.29","4,822.29","4,822.29","4,822.29","","-0.02%"
"12/01/2016","4,823.02","4,823.02","4,823.02","4,823.02","","0.45%"
"11/30/2016","4,801.24","4,801.24","4,801.24","4,801.24","","0.17%"
"11/29/2016","4,793.30","4,793.30","4,793.30","4,793.30","","-0.09%"
"11/28/2016","4,797.64","4,797.64","4,797.64","4,797.64","","0.23%"
"11/27/2016","4,786.57","4,786.57","4,786.57","4,786.57","","-0.10%"
"11/24/2016","4,791.33","4,791.33","4,791.33","4,791.33","","0.55%"
"11/23/2016","4,765.35","4,765.35","4,765.35","4,765.35","","0.32%"
"11/22/2016","4,750.20","4,750.20","4,750.20","4,750.20","","0.61%"
"11/21/2016","4,721.40","4,721.40","4,721.40","4,721.40","","-0.01%"
"11/20/2016","4,721.98","4,721.98","4,721.98","4,721.98","","0.50%"
"11/17/2016","4,698.54","4,698.54","4,698.54","4,698.54","","0.47%"
"11/16/2016","4,676.75","4,676.75","4,676.75","4,676.75","","0.26%"
"11/15/2016","4,664.80","4,664.80","4,664.80","4,664.80","","0.43%"
"11/14/2016","4,644.98","4,644.98","4,644.98","4,644.98","","-0.48%"
"11/13/2016","4,667.19","4,667.19","4,667.19","4,667.19","","-0.21%"
"11/10/2016","4,677.13","4,677.13","4,677.13","4,677.13","","0.13%"
"11/09/2016","4,671.25","4,671.25","4,671.25","4,671.25","","-0.42%"
"11/08/2016","4,691.06","4,691.06","4,691.06","4,691.06","","0.04%"
"11/07/2016","4,689.18","4,689.18","4,689.18","4,689.18","","0.36%"
"11/06/2016","4,672.39","4,672.39","4,672.39","4,672.39","","-0.01%"
"11/03/2016","4,672.87","4,672.87","4,672.87","4,672.87","","0.86%"
"11/02/2016","4,633.18","4,633.18","4,633.18","4,633.18","","0.79%"
"11/01/2016","4,596.86","4,596.86","4,596.86","4,596.86","","0.10%"
"10/31/2016","4,592.17","4,592.17","4,592.17","4,592.17","","-0.28%"
"10/30/2016","4,605.08","4,605.08","4,605.08","4,605.08","","-0.67%"
"10/27/2016","4,636.23","4,636.23","4,636.23","4,636.23","","-0.47%"
"10/26/2016","4,658.20","4,658.20","4,658.20","4,658.20","","-0.51%"
"10/25/2016","4,681.86","4,681.86","4,681.86","4,681.86","","-0.25%"
"10/24/2016","4,693.70","4,693.70","4,693.70","4,693.70","","0.01%"
"10/23/2016","4,693.00","4,693.00","4,693.00","4,693.00","","0.01%"
"10/20/2016","4,692.43","4,692.43","4,692.43","4,692.43","","-0.21%"
"10/19/2016","4,702.51","4,702.51","4,702.51","4,702.51","","-0.20%"
"10/18/2016","4,711.85","4,711.85","4,711.85","4,711.85","","0.40%"
"10/17/2016","4,692.94","4,692.94","4,692.94","4,692.94","","-0.35%"
